address,db_time,uptime_ms,bmp085_temp_decic,bmp085_press_pa,batt_mv,panel_mv,apogee_mv,apogee_w_m2,dallas_amb_c,dallas_roof_c,panel_ua,humidity_centi_pct,indicator,overflow_num
151,2015-01-30 13:02:51.70013-10,200138,274,100748,2600,0,,14,,,,46,,0
151,2015-01-30 13:02:50.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:49.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:48.70013-10,,,,,,,0,,,,,,
151,2015-01-30 13:02:47.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:46.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:45.70013-10,,,,,,,0,,,,,,
151,2015-01-30 13:02:44.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:43.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:42.70013-10,,,,,,,0,,,,,,
151,2015-01-30 13:02:41.70013-10,,,,2517,19,,,,,,,,
151,2015-01-30 13:02:40.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:39.70013-10,,,,,,,14,,,,,,
151,2015-01-30 13:02:38.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:37.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:36.70013-10,,,,,,,4,,,,,,
151,2015-01-30 13:02:35.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:34.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:33.70013-10,,,,,,,4,,,,,,
151,2015-01-30 13:02:32.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:31.70013-10,,,,2609,19,,,,,,,,
151,2015-01-30 13:02:30.70013-10,,,,,,,9,,,,,,
151,2015-01-30 13:02:29.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:28.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:27.70013-10,,,,,,,0,,,,,,
151,2015-01-30 13:02:26.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:25.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:24.70013-10,,,,,,,4,,,,,,
151,2015-01-30 13:02:23.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:22.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:21.70013-10,,,,2688,0,,4,,,,,,
151,2015-01-30 13:02:20.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:19.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:18.70013-10,,,,,,,0,,,,,,
151,2015-01-30 13:02:17.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:16.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:15.70013-10,,,,,,,4,,,,,,
151,2015-01-30 13:02:14.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:13.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:12.70013-10,,,,,,,0,,,,,,
151,2015-01-30 13:02:11.70013-10,,,,2908,19,,,,,,,,
151,2015-01-30 13:02:10.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:09.70013-10,,,,,,,14,,,,,,
151,2015-01-30 13:02:08.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:07.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:06.70013-10,,,,,,,4,,,,,,
151,2015-01-30 13:02:05.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:04.70013-10,,,,,,,,,,,,,
151,2015-01-30 13:02:03.70013-10,,,,,,,0,,,,,,
151,2015-01-30 13:02:02.70013-10,,,,,,,,,,,,,
